vehicle_x,vehicle_y,vehicle_z
9.35298,1.84255,0.00853358
9.4037,1.8372,0.00852714
9.45442,1.83196,0.00853109
9.50517,1.82696,0.00853317
9.55596,1.82188,0.00852922
9.60648,1.81438,0.00853571
9.64002,1.80863,0.00853621
9.69029,1.80023,0.00852737
9.74071,1.79287,0.00852381
9.79126,1.78605,0.00853452
9.84174,1.77875,0.00853302
9.8922,1.77132,0.00853245
9.94268,1.76413,0.00853168
9.9932,1.75727,0.00852599
10.0438,1.75019,0.00853232
10.0939,1.7407,0.00853584
10.1439,1.73051,0.00853566
10.194,1.72079,0.00853167
10.2441,1.71168,0.008529
10.2943,1.70281,0.00853484
10.3446,1.69391,0.00853523
10.3948,1.68498,0.00853109
10.4282,1.6791,0.00852943
10.4785,1.67042,0.00853315
10.5288,1.66195,0.00852631
10.5789,1.65182,0.0085359
10.6285,1.63988,0.0085335
10.6781,1.6283,0.00853384
10.7279,1.61754,0.00852426
10.7779,1.60716,0.00853353
10.8278,1.59673,0.00853109
10.8777,1.58618,0.00853455
10.9276,1.57569,0.00853272
10.9775,1.56538,0.00852964
11.0275,1.55496,0.00852568
11.077,1.54269,0.00853184
11.1264,1.5298,0.00853623
11.1758,1.51717,0.00852845
11.2088,1.50899,0.00852593
11.2583,1.49692,0.00852744
11.3079,1.48498,0.00853238
11.3575,1.47298,0.0085312
11.4071,1.46098,0.00853599
11.4567,1.44916,0.00853376
11.5063,1.43724,0.00852677
11.5555,1.42371,0.00853287
11.6045,1.40963,0.00852911
11.6536,1.39577,0.00852744
11.7028,1.38225,0.00853185
11.752,1.36895,0.00852921
11.8012,1.35568,0.00853035
11.8505,1.34239,0.0085317
11.8997,1.32914,0.00853392
11.949,1.316,0.0085319
11.9819,1.30733,0.00853191
12.0312,1.29439,0.00852895
12.0802,1.28016,0.00853557
12.1288,1.26466,0.00852713
12.1775,1.2495,0.00852766
12.2264,1.2349,0.0085335
12.2753,1.22055,0.00852872
12.3242,1.20615,0.00853436
12.3731,1.19165,0.00853449
12.422,1.17718,0.0085287
12.471,1.16284,0.00852635
12.5199,1.14842,0.00853471
12.5685,1.13277,0.00853197
12.6169,1.1167,0.00853419
12.6653,1.10079,0.00853224
12.7139,1.08513,0.00852547
12.7462,1.07479,0.0085287
12.7948,1.05931,0.00853536
12.8434,1.04377,0.00852749
12.892,1.02822,0.00853598
12.9406,1.01281,0.00852626
12.9892,0.997501,0.00853445
13.0379,0.982086,0.00853626
13.0862,0.965614,0.00853566
13.1343,0.948779,0.00852873
13.1825,0.932074,0.00853477
13.2308,0.915568,0.00852587
13.2791,0.899209,0.00853395
13.3274,0.882865,0.00852955
13.3757,0.866491,0.00853387
13.424,0.850126,0.00853224
13.4723,0.83382,0.00852738
13.5045,0.822978,0.00853121
13.5527,0.806061,0.00852874
13.6005,0.788335,0.00852716
13.6483,0.770733,0.00853172
13.6964,0.753825,0.00853045
13.7446,0.73696,0.00853015
13.7926,0.71986,0.00853456
13.8406,0.70266,0.00852723
13.8887,0.685519,0.00852919
13.9367,0.668479,0.00852728
13.9848,0.651502,0.00852769
14.0329,0.634456,0.00853485
14.0808,0.616795,0.00853377
14.1285,0.598866,0.008536
14.1763,0.58105,0.00852889
14.2082,0.569278,0.00852682
14.2561,0.551673,0.00853356
14.3039,0.534053,0.00853173
14.3518,0.516364,0.00853019
14.3996,0.498674,0.00852673
14.4475,0.481061,0.00852601
14.4953,0.463481,0.00853021
14.5432,0.445831,0.00853172
14.5909,0.427786,0.00853012
14.6386,0.409619,0.00853127
14.6862,0.391516,0.00853181
14.7339,0.373494,0.00853019
14.7817,0.355492,0.00852753
14.8294,0.337464,0.0085285
14.8771,0.319411,0.00853024
14.9248,0.301351,0.00853172
14.9566,0.289315,0.00852868
15.0043,0.271262,0.00853367
15.0519,0.253099,0.00852911
15.0995,0.234828,0.00853308
15.1472,0.216569,0.00853127
15.1948,0.198343,0.00853229
15.2424,0.180121,0.0085265
15.29,0.161875,0.00853038
15.3377,0.143602,0.0085347
15.3853,0.125311,0.00853376
15.4329,0.107007,0.00852919
15.4805,0.0886873,0.00853308
15.5281,0.0703699,0.00853127
15.5757,0.0521502,0.00853229
15.6233,0.0339485,0.0085265
15.671,0.0157087,0.00853467
15.7186,-0.00257512,0.00853469
15.7503,-0.0147811,0.00853051
15.7979,-0.0331061,0.00853468
15.8455,-0.0514448,0.00853469
15.8931,-0.0698095,0.00853376
15.9406,-0.0882157,0.00852913
15.9882,-0.106661,0.00853308
16.0357,-0.125075,0.00852585
16.0834,-0.143152,0.00853187
16.1311,-0.161141,0.00853019
16.1788,-0.179217,0.00853171
16.2265,-0.197398,0.00853204
16.2741,-0.215634,0.00853053
16.3217,-0.233885,0.00853228
16.3694,-0.252154,0.00852692
16.417,-0.270463,0.00853393
16.4487,-0.282701,0.00853172
16.4962,-0.301104,0.00853018
16.5439,-0.319197,0.00852585
16.5918,-0.336705,0.00853188
16.6396,-0.354362,0.00853019
16.6874,-0.372395,0.00853172
16.735,-0.390477,0.00853261
16.7828,-0.408448,0.00853182
16.8305,-0.426376,0.0085331
16.8782,-0.444372,0.00852906
16.9259,-0.462478,0.00852882
16.9736,-0.480673,0.00852974
17.0212,-0.498842,0.00853172
17.0691,-0.516264,0.0085355
17.1172,-0.533297,0.00853119
17.1652,-0.550522,0.00852954
17.1971,-0.562159,0.00853018
17.245,-0.579726,0.00853045
17.2929,-0.597329,0.00852954
17.3408,-0.614903,0.00852966
17.3886,-0.632525,0.00853483
17.4365,-0.650265,0.00852868
17.4842,-0.668115,0.00852583
17.532,-0.68587,0.00852762
17.5802,-0.702626,0.00853307
17.6284,-0.719052,0.00852762
17.6767,-0.735641,0.00852967
17.7248,-0.752534,0.00853051
17.7729,-0.769583,0.00853227
17.8209,-0.786647,0.00852635
17.869,-0.803713,0.00852888
17.917,-0.820843,0.00852876
17.949,-0.832328,0.00853331
17.997,-0.849659,0.00852889
18.0449,-0.867079,0.00852841
18.0932,-0.883248,0.00853224
18.1419,-0.898405,0.00852882
18.1905,-0.913847,0.00853648
18.2389,-0.930154,0.00852945
18.2871,-0.946692,0.00853469
18.3354,-0.963092,0.00852723
18.3837,-0.979388,0.00852768
18.432,-0.995766,0.00853307
18.4803,-1.01233,0.00852905
18.5285,-1.02881,0.00853307
18.5772,-1.04388,0.00852623
18.6261,-1.0585,0.00852753
18.6749,-1.07336,0.008536
18.7073,-1.08348,0.0085356
18.756,-1.09884,0.00852916
18.8046,-1.11428,0.00852743
18.8532,-1.12971,0.00852761
18.9018,-1.14519,0.00852973
18.9503,-1.16084,0.00853172
18.9988,-1.17667,0.00853135
19.0473,-1.19234,0.00852779
19.0963,-1.20631,0.00853424
19.1455,-1.21977,0.00853339
19.1946,-1.23353,0.0085278
19.2436,-1.24769,0.00853614
19.2926,-1.26209,0.00853387
19.3415,-1.27654,0.00853025
19.3904,-1.291,0.00852584
19.4393,-1.30555,0.00853323
19.4718,-1.31534,0.00852889
19.5206,-1.33015,0.00852774
19.5698,-1.34347,0.008529
19.6194,-1.35528,0.00852625
19.6689,-1.36751,0.00852889
19.7182,-1.38046,0.00853134
19.7675,-1.39375,0.00852779
19.8167,-1.40701,0.00852773
19.866,-1.4202,0.0085318
19.9152,-1.43348,0.00852883
19.9644,-1.44695,0.00853393
20.0136,-1.46065,0.00853284
20.0627,-1.47423,0.00852873
20.1123,-1.48565,0.00853113
20.1622,-1.49615,0.00853032
20.212,-1.50711,0.00853135
20.2452,-1.51485,0.00853626
20.2948,-1.52673,0.00853168
20.3444,-1.53865,0.00852964
20.394,-1.55043,0.00853171
20.4436,-1.5623,0.00853044
20.4931,-1.57457,0.00853285
20.5426,-1.58677,0.00853292
20.5925,-1.59669,0.00853544
20.6427,-1.60559,0.00853447
20.6929,-1.61497,0.00852581
20.7429,-1.6251,0.00852953
20.7928,-1.63554,0.00853619
20.8427,-1.64597,0.00853402
20.8927,-1.65636,0.00853466
20.9426,-1.66688,0.00853296
20.9924,-1.67763,0.00853402
21.0256,-1.68491,0.00853171
21.0757,-1.69396,0.00852892
21.1262,-1.70051,0.00852872
21.1769,-1.70661,0.00853053
21.2273,-1.71481,0.00852724
21.2774,-1.72444,0.00852738
21.3275,-1.73368,0.00852991
21.3778,-1.74235,0.00853381
21.428,-1.75101,0.00852723
21.4782,-1.76009,0.00852845
21.5284,-1.76961,0.00853179
21.5784,-1.77895,0.00853631
21.6289,-1.78585,0.0085318
21.6796,-1.79155,0.00852843
21.7302,-1.79752,0.00852723
21.7808,-1.80415,0.00853629
21.8145,-1.80884,0.00853611
21.865,-1.81599,0.00853221
21.9155,-1.82307,0.00852871
21.966,-1.83013,0.00853337
22.0165,-1.83752,0.00852888
22.0669,-1.84504,0.00853116
22.1176,-1.8501,0.00852778
22.1684,-1.85366,0.00853179
22.2193,-1.8576,0.00853329
22.2701,-1.86239,0.00852917
22.3208,-1.86764,0.00853546
22.3715,-1.87291,0.0085344
22.4223,-1.87815,0.00852993
22.473,-1.8835,0.00853227
22.5237,-1.88913,0.00852933
22.5743,-1.8947,0.00853402
22.6082,-1.89693,0.00853172
22.6591,-1.89889,0.0085302
22.7101,-1.90038,0.00852907
22.7611,-1.90293,0.00853484
22.812,-1.90656,0.0085362
22.8629,-1.91002,0.00853284
22.9138,-1.91315,0.00852916
22.9647,-1.91637,0.00853106
23.0155,-1.91997,0.00853316
23.0664,-1.92354,0.00853604
23.1173,-1.92469,0.00853537
23.1683,-1.92463,0.00852987
23.2193,-1.92476,0.00853457
23.2703,-1.92546,0.0085276
23.3213,-1.92666,0.00853421
23.3723,-1.92802,0.00853436
23.4063,-1.92891,0.00852715
23.4572,-1.93032,0.00852772
23.5082,-1.9319,0.00852773
23.5592,-1.93375,0.00853226
23.6101,-1.9338,0.00852737
23.661,-1.93149,0.00852906
23.7119,-1.92912,0.00853168
23.763,-1.92783,0.00853522
23.814,-1.92727,0.00852881
23.865,-1.92664,0.00852722
23.916,-1.92594,0.00852917
23.967,-1.92529,0.00853545
24.018,-1.92491,0.00853243
24.0689,-1.92443,0.00853324
24.1198,-1.92149,0.00853028
24.1706,-1.91744,0.00852839
24.2045,-1.91493,0.00852664
24.2554,-1.91154,0.00853109
24.3064,-1.90889,0.00853306
24.3573,-1.90629,0.00853092
24.4082,-1.9034,0.0085312
24.4591,-1.90066,0.00853112
24.5101,-1.8983,0.00852564
24.561,-1.89586,0.00853545
24.6117,-1.89098,0.00852746
24.6623,-1.88505,0.00853427
24.713,-1.8794,0.00853326
24.7638,-1.87433,0.00852592
24.8146,-1.86968,0.00852711
24.8654,-1.86511,0.00853311
24.9162,-1.86054,0.00852706
24.967,-1.85606,0.00852662
25.0009,-1.85319,0.00852545
25.0517,-1.84909,0.0085311
25.1022,-1.84317,0.00852779
25.1525,-1.83491,0.00853396
25.2029,-1.82694,0.00853115
25.2535,-1.82027,0.00852565
25.3041,-1.81403,0.00853325
25.3547,-1.80764,0.00853722
25.4053,-1.80108,0.00853144
25.4559,-1.79462,0.00853328
25.5065,-1.78844,0.00852545
25.5571,-1.78215,0.00853113
25.6073,-1.77353,0.0085345
25.6574,-1.7641,0.00852917
25.7076,-1.755,0.00852568
25.7579,-1.74639,0.00853022
25.7915,-1.74085,0.0085316
25.8418,-1.73265,0.00853147
25.8921,-1.72437,0.00853106
25.9424,-1.71606,0.00852991
25.9928,-1.708,0.00853347
26.0431,-1.70004,0.00852967
26.093,-1.68991,0.00852874
26.1428,-1.6787,0.00853548
26.1926,-1.66788,0.00852683
26.2427,-1.65777,0.00853022
26.2927,-1.64796,0.00853226
26.3427,-1.63812,0.00853035
26.3928,-1.62822,0.00853628
26.4428,-1.6184,0.00852673
26.4929,-1.60878,0.00852873
26.5429,-1.59905,0.00853244
26.576,-1.59135,0.00853627
26.6255,-1.57916,0.00853274
26.675,-1.56698,0.00853358
26.7248,-1.55558,0.00853169
26.7746,-1.54463,0.0085318
26.8243,-1.53338,0.00852739
26.874,-1.52163,0.00852769
26.9236,-1.51006,0.00853179
26.9734,-1.49879,0.00853383
27.0231,-1.48748,0.00853177
27.0723,-1.47441,0.00852964
27.1214,-1.46072,0.00853437
