vehicle_x,vehicle_y,vehicle_z
4.25081,1.50717,-0.00100144
4.27499,1.5136,-0.00100179
4.29916,1.51999,-0.00100211
4.32328,1.52635,-0.00100149
4.34747,1.5327,-0.00100142
4.37168,1.53903,-0.00100172
4.39588,1.54532,-0.00100196
4.42003,1.55157,-0.00100153
4.44425,1.55781,-0.0010014
4.46848,1.56402,-0.00100166
4.49272,1.57019,-0.001002
4.51691,1.57631,-0.00100152
4.54116,1.58241,-0.0010014
4.56544,1.58848,-0.00100161
4.58972,1.5945,-0.00100174
4.61395,1.60046,-0.00100173
4.63825,1.60639,-0.00100141
4.66257,1.61228,-0.00100155
4.68691,1.61811,-0.00100203
4.71119,1.62387,-0.00100131
4.73553,1.62959,-0.00100142
4.75989,1.63528,-0.0010015
4.78426,1.64094,-0.00100196
4.80858,1.64656,-0.00100104
4.83294,1.65217,-0.00100143
4.85732,1.65775,-0.00100146
4.88172,1.6633,-0.00100188
4.90608,1.66881,-0.00100128
4.93045,1.67429,-0.00100145
4.95486,1.67974,-0.00100143
4.97929,1.68516,-0.00100181
5.0037,1.69052,-0.00100203
5.02809,1.69585,-0.00100147
5.05253,1.70115,-0.00100141
5.077,1.7064,-0.00100174
5.10147,1.7116,-0.00100219
5.12589,1.71675,-0.0010015
5.15037,1.72185,-0.0010014
5.17489,1.7269,-0.00100167
5.19941,1.73189,-0.00100197
5.22388,1.73679,-0.00100155
5.24841,1.74166,-0.00100139
5.27296,1.74649,-0.0010016
5.29751,1.75129,-0.00100213
5.322,1.75605,-0.00100158
5.34655,1.7608,-0.0010014
5.37111,1.76551,-0.00100155
5.3957,1.7702,-0.00100204
5.42021,1.77483,-0.00100175
5.44478,1.77945,-0.00100141
5.46937,1.78403,-0.0010015
5.49399,1.78857,-0.00100197
5.51853,1.79306,-0.0010013
5.54314,1.79752,-0.00100143
5.56776,1.80194,-0.00100146
5.59241,1.8063,-0.0010019
5.617,1.81061,-0.00100099
5.64164,1.81487,-0.00100145
5.6663,1.81908,-0.00100143
5.691,1.82322,-0.00100184
5.71565,1.82729,-0.0010011
5.74031,1.8313,-0.00100147
5.765,1.83528,-0.00100141
5.78971,1.83924,-0.00100176
5.8144,1.84315,-0.00100196
5.83905,1.84704,-0.0010015
5.86376,1.85091,-0.0010014
5.88849,1.85474,-0.00100168
5.91322,1.85853,-0.00100228
5.93788,1.86227,-0.00100154
5.96261,1.866,-0.00100139
5.98736,1.86968,-0.00100162
6.01213,1.87331,-0.00100217
6.03682,1.87689,-0.00100158
6.06158,1.88044,-0.0010014
6.08635,1.88394,-0.00100156
6.11115,1.88738,-0.00100207
6.13588,1.89076,-0.00100159
6.16067,1.8941,-0.00100141
6.18548,1.89737,-0.00100152
6.21032,1.90056,-0.001002
6.2351,1.90368,-0.0010018
6.2599,1.90678,-0.00100143
6.28473,1.90984,-0.00100148
6.30957,1.91287,-0.00100192
6.33434,1.91585,-0.00100141
6.35917,1.91882,-0.00100146
6.38401,1.92175,-0.00100144
6.40887,1.92464,-0.00100185
6.43367,1.92748,-0.00100112
6.45851,1.93029,-0.0010015
6.48337,1.93306,-0.00100142
6.50825,1.93579,-0.00100178
6.53309,1.93845,-0.00100126
6.55793,1.94108,-0.00100155
6.58282,1.94366,-0.00100141
6.60772,1.94618,-0.00100172
6.63261,1.94863,-0.00100179
6.65746,1.95103,-0.0010016
6.68238,1.95336,-0.00100141
6.70731,1.95562,-0.00100165
6.73223,1.9578,-0.00100219
6.75709,1.95996,-0.00100156
6.782,1.96208,-0.00100141
6.80693,1.96417,-0.00100159
6.83187,1.96622,-0.00100213
6.85674,1.96824,-0.00100176
6.88166,1.97023,-0.00100142
6.9066,1.97217,-0.00100154
6.93156,1.97407,-0.00100203
6.95644,1.97593,-0.00100145
6.98138,1.97775,-0.00100144
7.00634,1.97952,-0.0010015
7.03131,1.98123,-0.00100194
7.05622,1.9829,-0.00100177
7.08117,1.98452,-0.00100147
7.10614,1.98608,-0.00100147
7.13113,1.98757,-0.00100187
7.15606,1.98899,-0.00100186
7.18103,1.99036,-0.00100151
7.20603,1.99165,-0.00100145
7.23103,1.99286,-0.0010018
7.25596,1.99403,-0.00100122
7.28094,1.99519,-0.00100151
7.30592,1.9963,-0.00100143
7.33092,1.99738,-0.00100174
7.35588,1.99841,-0.00100105
7.38085,1.99942,-0.00100153
7.40584,2.00039,-0.00100142
7.43085,2.00131,-0.00100169
7.45583,2.00218,-0.00100146
7.48079,2.00302,-0.00100165
7.50579,2.00381,-0.00100142
7.53081,2.00454,-0.00100163
7.55582,2.00521,-0.00100208
7.58078,2.00584,-0.00100159
7.60578,2.00641,-0.00100144
7.63081,2.00691,-0.00100158
7.65584,2.00734,-0.0010021
7.68081,2.0077,-0.00100175
7.70582,2.00799,-0.00100146
7.73084,2.0082,-0.00100154
7.75586,2.00837,-0.00100199
7.78082,2.00852,-0.00100167
7.80582,2.00863,-0.00100148
7.83084,2.00871,-0.0010015
7.85586,2.00874,-0.0010019
7.88083,2.00874,-0.00100167
7.90583,2.0087,-0.00100149
7.93084,2.00861,-0.00100148
7.95587,2.00848,-0.00100177
7.98089,2.0083,-0.00100182
8.00585,2.00806,-0.00100126
8.03086,2.00776,-0.00100144
8.05589,2.0074,-0.00100172
8.08091,2.00698,-0.00100185
8.10587,2.0065,-0.00100113
8.13086,2.00594,-0.00100143
8.15589,2.0053,-0.00100168
8.18091,2.0046,-0.00100176
8.20589,2.00382,-0.00100146
8.23084,2.00295,-0.00100144
8.25584,2.00204,-0.00100164
8.28084,2.0011,-0.00100177
8.30582,2.00013,-0.00100192
8.33075,1.9991,-0.00100143
8.35574,1.99803,-0.00100159
8.38074,1.99693,-0.00100186
8.40572,1.99578,-0.00100183
8.43063,1.9946,-0.00100143
8.45562,1.99335,-0.00100155
8.48061,1.99207,-0.00100185
8.50558,1.99074,-0.00100176
8.53049,1.98936,-0.00100152
8.55547,1.98792,-0.00100152
8.58045,1.98643,-0.00100181
8.60541,1.9849,-0.00100173
8.63031,1.98331,-0.00100107
8.65528,1.98164,-0.0010015
8.68025,1.97991,-0.00100177
8.7052,1.97812,-0.00100172
8.73009,1.97628,-0.00100111
8.75501,1.97439,-0.00100148
8.77995,1.97246,-0.00100174
8.80488,1.9705,-0.00100174
8.82979,1.96851,-0.00100154
8.85467,1.96647,-0.00100147
8.8796,1.96439,-0.0010017
8.90452,1.96227,-0.00100178
8.92943,1.96013,-0.00100188
8.95428,1.95793,-0.00100145
8.9792,1.95569,-0.00100167
9.00411,1.9534,-0.00100173
9.02901,1.95108,-0.00100178
9.05385,1.94871,-0.00100143
9.07875,1.94628,-0.00100163
9.10364,1.94381,-0.00100165
9.12853,1.94128,-0.00100173
9.15334,1.93871,-0.00100152
9.17823,1.93607,-0.00100159
9.2031,1.93336,-0.0010018
9.22796,1.93061,-0.00100167
9.25275,1.92783,-0.00100107
9.27759,1.925,-0.00100156
9.30245,1.92213,-0.00100183
9.32728,1.91924,-0.00100166
9.35208,1.91632,-0.00100109
9.37689,1.91334,-0.00100153
9.40172,1.91032,-0.00100179
9.42654,1.90728,-0.00100167
9.45134,1.9042,-0.00100155
9.47611,1.90107,-0.00100152
9.50093,1.89788,-0.00100176
9.52572,1.89466,-0.00100167
9.55052,1.89141,-0.00100185
9.57525,1.8881,-0.00100151
9.60005,1.88473,-0.00100173
9.62482,1.88132,-0.00100166
9.64959,1.87786,-0.00100173
9.6743,1.87435,-0.00100148
9.69907,1.87076,-0.0010017
9.72381,1.86711,-0.00100171
9.74855,1.86342,-0.00100167
9.77321,1.85969,-0.00100148
9.79794,1.85592,-0.00100166
9.82265,1.85211,-0.00100171
9.84736,1.84828,-0.00100165
9.87201,1.84443,-0.00100108
9.89672,1.84051,-0.00100164
9.92141,1.83656,-0.00100156
9.9461,1.83258,-0.00100163
9.97074,1.82857,-0.0010011
9.9954,1.8245,-0.0010016
10.0201,1.82039,-0.00100179
10.0447,1.81625,-0.00100161
10.0694,1.81207,-0.00100159
