error
1.07599
1.07278
1.05991
1.03863
1.01486
0.990797
0.966469
0.941915
0.917167
0.892255
0.867206
0.842044
0.816791
0.791468
0.766101
0.740704
0.72376
0.698321
0.672865
0.647395
0.621916
0.59643
0.57094
0.545446
0.519952
0.494466
0.468993
0.443526
0.418055
0.392579
0.367098
0.341612
0.324619
0.299132
0.273652
0.248174
0.222692
0.197203
0.17171
0.146217
0.120731
0.0952547
0.0697887
0.0443516
0.0190912
0.529607
0.504147
0.47868
0.461698
0.436219
0.410735
0.385249
0.359764
0.334278
0.30879
0.2833
0.25781
0.232321
0.206837
0.181355
0.155877
0.130406
0.104949
0.0879923
0.0626005
0.0373549
0.545311
0.519809
0.494307
0.468805
0.443304
0.417803
0.392302
0.366802
0.341302
0.315802
0.290303
0.264803
0.239304
0.222304
0.196805
0.171307
0.145808
0.120309
0.0948102
0.0693116
0.0438131
0.549732
0.524232
0.498731
0.47323
0.447729
0.422229
0.396728
0.371227
0.354227
0.328726
0.303226
0.277725
0.252225
0.226724
0.201224
0.175724
0.150224
0.124724
0.0992237
0.0737241
0.0482249
0.550977
0.525478
0.499978
0.482978
0.457477
0.431977
0.406476
0.380975
0.355474
0.329973
0.304472
0.278972
0.253471
0.227971
0.202471
0.176971
0.151471
0.125973
0.100475
0.0834779
0.0579851
0.0325046
0.531706
0.506208
0.480708
0.455208
0.429707
0.404206
0.378706
0.353205
0.327704
0.302203
0.276703
0.251202
0.225702
0.208702
0.183203
0.157704
0.132206
0.10671
0.0812159
0.055728
0.0302613
0.525685
0.500187
0.474688
0.449188
0.423687
0.398187
0.372686
0.347185
0.330185
0.304684
0.279184
0.253684
0.228184
0.202684
0.177185
0.151687
0.12619
0.100695
0.0752042
0.0497226
0.541327
0.51583
0.490331
0.464832
0.447831
0.422331
0.396831
0.37133
0.34583
0.320329
0.294829
0.269328
0.243828
0.218329
0.19283
0.167331
0.141834
0.116338
0.0908445
0.065357
0.048373
0.536207
0.510712
0.485214
0.459715
0.434215
0.408716
0.383216
0.357715
0.332215
0.306715
0.281215
0.255715
0.230216
0.204717
0.179219
0.16222
0.136724
0.11123
0.0857398
0.0602585
0.0348052
0.519062
0.493568
0.468072
0.442574
0.417075
0.391576
0.366077
0.340578
0.315078
0.289579
0.272579
0.24708
0.221582
0.196084
0.170587
0.145092
0.119599
0.094111
0.0686317
0.0431776
0.524261
0.498768
0.473273
0.447775
0.422277
0.396778
0.379779
0.35428
0.32878
0.303281
0.277782
0.252283
0.226785
0.201287
0.17579
0.150295
0.124803
0.099314
0.0738339
0.0483751
0.526801
0.501309
0.484312
0.458816
0.433318
0.40782
0.382322
0.356823
0.331323
0.305824
0.280325
0.254827
0.229328
0.203831
0.178334
0.15284
0.127347
0.101859
0.0848707
0.0594018
0.0339799
0.510313
0.484823
0.459329
0.433833
0.408336
0.382839
0.357341
0.331843
0.306344
0.280846
0.255348
0.229851
0.212853
0.187358
0.161863
0.136372
0.110885
0.0854051
0.0599436
0.0345393
0.509511
0.484021
0.458528
0.433032
0.407536
0.382039
0.356541
0.331043
0.305545
0.288546
0.263049
0.237551
0.212055
0.18656
0.161066
0.135575
0.110089
0.0846116
0.0591539
0.0337601
0.508152
0.482663
0.45717
0.431674
0.406178
0.38918
0.363682
0.338185
0.312687
0.287189
0.261691
0.236194
0.210698
0.185202
0.159709
0.134219
0.108733
0.0832569
0.0578017
0.0324175
0.515523
0.490034
0.46454
0.439044
0.413548
0.38805
0.362552
0.337054
0.311556
0.286057
0.260559
0.235062
0.209565
0.18407
0.158576
0.133085
0.116093
0.0906122
0.065146
0.0397237
0.515407
0.489917
0.464423
0.438927
0.41343
0.387933
0.362435
0.336936
0.311438
0.28594
0.260442
0.234944
0.217946
0.19245
0.166956
0.141463
0.115975
0.0904934
0.0650268
0.0396035
0.517044
0.491553
0.466059
0.440563
0.415066
0.389568
0.36407
0.338571
0.321572
0.296073
0.270575
0.245077
0.21958
0.194083
0.168588
0.143095
0.117606
0.0921229
0.066653
0.0412209
0.521092
0.4956
0.470105
0.444608
0.427609
0.402111
0.376613
0.351114
0.325615
0.300116
0.274617
0.249118
0.22362
0.198123
0.172627
0.147133
0.121642
0.0961557
0.0706799
0.0452318
0.536598
0.511105
0.485608
0.460111
0.434612
0.409113
0.383613
0.358113
0.332614
0.307114
0.281614
0.256115
0.230616
0.205118
0.17962
0.154124
0.137128
0.111636
0.0861489
0.0606733
0.0352337
0.521501
